country,month,wind_kph,meses
Uruguay,August,18.74516129032258,Agosto
Uruguay,September,16.04,Setembro
Uruguay,June,16.033333333333335,Junho
Paraguay,June,15.706666666666667,Junho
Uruguay,May,14.91764705882353,Maio
Paraguay,May,14.776470588235293,Maio
Uruguay,October,13.32,Outubro
Argentina,June,12.723333333333333,Junho
Argentina,August,12.30967741935484,Agosto
Guyana,May,12.288235294117648,Maio
Paraguay,August,12.245161290322581,Agosto
Paraguay,September,12.15,Setembro
Argentina,September,11.506666666666666,Setembro
Argentina,May,11.258823529411766,Maio
Paraguay,October,11.248,Outubro
Suriname,September,10.976666666666667,Setembro
Uruguay,July,10.379310344827585,Julho
Argentina,October,10.244000000000002,Outubro
Suriname,May,10.117647058823529,Maio
Paraguay,July,10.110344827586207,Julho
Suriname,August,9.925806451612903,Agosto
Suriname,October,9.916,Outubro
Guyana,October,9.237499999999999,Outubro
Peru,October,9.220833333333333,Outubro
Guyana,June,8.556666666666667,Junho
Argentina,July,8.425,Julho
Suriname,June,8.362068965517242,Junho
Guyana,September,8.32,Setembro
Guyana,July,8.117241379310345,Julho
Suriname,July,8.075862068965517,Julho
Peru,September,8.01,Setembro
Chile,May,7.847058823529412,Maio
Venezuela,June,7.726666666666666,Junho
Peru,May,7.7,Maio
Peru,June,7.496666666666667,Junho
Guyana,August,7.364516129032259,Agosto
Venezuela,May,7.352941176470588,Maio
Ecuador,July,7.241379310344827,Julho
Ecuador,September,6.996666666666667,Setembro
Brazil,June,6.946666666666667,Junho
Peru,August,6.877419354838709,Agosto
Chile,June,6.793333333333333,Junho
Bolivia,May,6.561764705882353,Maio
Ecuador,August,6.551612903225807,Agosto
Peru,July,6.55,Julho
Venezuela,July,6.341379310344828,Julho
Venezuela,September,6.136666666666667,Setembro
Venezuela,August,5.880645161290323,Agosto
Bolivia,July,5.8125,Julho
Brazil,August,5.767741935483872,Agosto
Brazil,September,5.72,Setembro
Chile,August,5.712903225806452,Agosto
Brazil,July,5.7,Julho
Brazil,May,5.658823529411765,Maio
Ecuador,June,5.61,Junho
Bolivia,October,5.527083333333334,Outubro
Bolivia,June,5.513559322033898,Junho
Ecuador,May,5.452941176470588,Maio
Chile,September,5.296666666666667,Setembro
Bolivia,August,5.280645161290322,Agosto
Bolivia,September,5.126666666666667,Setembro
Chile,July,4.8,Julho
Venezuela,October,4.7124999999999995,Outubro
Colombia,June,4.7,Junho
Ecuador,October,4.220833333333333,Outubro
Brazil,October,4.083333333333333,Outubro
Chile,October,3.8874999999999997,Outubro
